0.879
class4,p
Ib,1.0
II,0.9684289873868821
II,0.7711444798540704
nonevent,0.0186986036838978
nonevent,0.03941772647941042
II,0.8850470333809182
II,0.7521179570855274
II,0.9689002848903239
nonevent,0.5446231338302359
Ib,0.7522843303240834
nonevent,0.3003240871230741
II,0.7364396115674657
nonevent,0.24134361799203977
Ib,0.7453054727873173
nonevent,0.16073676087788014
nonevent,0.16831416359511323
Ib,1.0
nonevent,0.06784976167150078
nonevent,0.13039684247117955
II,0.8667919586179678
nonevent,0.025404330894548285
nonevent,0.12325893898021033
II,0.8122792627040577
nonevent,0.1135229990366045
II,0.7323735016531907
II,0.9936587301587301
nonevent,0.25269889582226207
nonevent,0.059445129347303255
nonevent,0.3346735421915695
II,0.9528486763681271
Ib,0.8135141738454567
nonevent,0.025504592629592628
nonevent,0.11686927279806535
nonevent,0.10676871639724649
II,0.6419036113368393
nonevent,0.040697598474099345
nonevent,0.08872523273354474
nonevent,0.020150418140635534
II,0.7011569774077349
nonevent,0.03388257976375489
nonevent,0.12651081255059585
II,0.961926515195966
nonevent,0.11478546812378079
nonevent,0.11688689660249763
nonevent,0.30599923839651416
II,0.7247272575347956
nonevent,0.18568826195166704
nonevent,0.24255413343685828
II,0.9664034271728777
nonevent,0.4523884530401322
II,0.7833177618596718
nonevent,0.13794063548935673
Ib,0.8946118814169631
II,0.9664628764538808
nonevent,0.10202510397986575
II,0.9695378336260688
Ib,0.9738010844519465
nonevent,0.11546905657408751
nonevent,0.200406410525597
nonevent,0.0696062829499362
nonevent,0.3801651438017383
Ib,0.906765295806318
II,0.9807620435120435
II,0.983802947052947
nonevent,0.14319130422493256
nonevent,0.15536477751208863
nonevent,0.06074654925958263
Ib,0.8977196670177829
Ib,0.9223933345338418
Ib,0.8067917397626613
nonevent,0.03116467084212894
nonevent,0.11454614775203009
Ib,0.8697439657189123
Ib,0.8989027140432213
nonevent,0.6486781577373075
nonevent,0.024485581085581087
II,0.9988888888888888
II,0.7411196134250342
II,0.9086063349639941
nonevent,0.034463369360108485
nonevent,0.07080898917156489
nonevent,0.22921330877110743
nonevent,0.21666525467996056
nonevent,0.04870885202053596
nonevent,0.06000794575782124
Ib,0.9815406815406815
II,0.7897007369379808
nonevent,0.10237544566193442
nonevent,0.039140111234841346
nonevent,0.08495505641701294
nonevent,0.06415903094265929
nonevent,0.08835978918903944
nonevent,0.2425314212711928
nonevent,0.027591481340010753
nonevent,0.39886595167238226
II,0.9988888888888888
nonevent,0.2634632546597447
nonevent,0.03907853890736176
nonevent,0.02066526529026529
nonevent,0.02553692603219458
nonevent,0.15753582408876526
Ib,0.9983333333333333
II,0.9711007800573017
Ib,0.9786536796536797
nonevent,0.09947040355249062
nonevent,0.024035071694581724
nonevent,0.007827548410668616
Ib,1.0
II,0.9980092592592592
nonevent,0.19320680700846943
nonevent,0.2012444191353448
II,0.9608944726770814
II,0.9404820707515213
nonevent,0.18850476951955283
Ib,0.9769876849786894
II,0.9676336482108596
nonevent,0.09009061286872382
Ib,0.9972222222222221
nonevent,0.1683577272611142
nonevent,0.44597491969511055
nonevent,0.054929448927978325
Ib,0.7464962360110138
nonevent,0.05273518933803964
nonevent,0.005443898207056101
nonevent,0.013207523283913105
nonevent,0.05682697531226943
II,0.7882797757517898
Ib,0.9257419692769274
nonevent,0.12683548474403045
II,0.7990450655470466
Ib,0.9763811439005946
nonevent,0.12158775022943483
nonevent,0.12028669443705603
nonevent,0.09832535451230091
II,0.8355752791614277
nonevent,0.11270595573842311
Ib,0.999090909090909
Ib,0.8741395232167584
nonevent,0.1172413131942914
nonevent,0.09723554373827965
nonevent,0.22525259497828315
nonevent,0.5515600982500396
nonevent,0.3040671067041287
nonevent,0.02599476971829913
nonevent,0.0947671139214853
nonevent,0.3164405427116784
II,0.948386849177417
nonevent,0.0014285714285714286
nonevent,0.08905551171544239
nonevent,0.021546670303094456
nonevent,0.5145891528315341
nonevent,0.26675891762349196
nonevent,0.05730558049023858
nonevent,0.054587208427294566
nonevent,0.3783561334839656
nonevent,0.06869527368056777
Ib,0.9931159420289855
nonevent,0.1275413569900782
Ib,0.9218283439688513
nonevent,0.20792550216194716
II,0.9020876723838026
nonevent,0.08817594104768016
nonevent,0.38289324326587254
II,0.8288323822223177
nonevent,0.30172862119334726
II,0.9917091575091576
nonevent,0.5281179525240368
II,0.6426973599904333
nonevent,0.016116443725879722
Ib,0.9211066272381392
nonevent,0.20894592572808854
II,0.9099876296347894
Ib,0.9836490236400282
II,0.7809339306910777
nonevent,0.11779615031810145
II,0.7867616494030042
Ib,1.0
nonevent,0.23377435900698118
Ib,0.9042035243440318
Ib,0.9855092592592593
Ib,0.9843519041345128
nonevent,0.08344855541364156
nonevent,0.6430997678662217
II,0.9778457375957375
nonevent,0.14519366736236097
nonevent,0.05053645138644128
Ib,0.9983333333333333
nonevent,0.1674480350461472
II,0.7760110699743933
II,0.9411250055394218
II,0.6957276575860538
II,0.9150185819168789
nonevent,0.0007846153846153847
nonevent,0.00876661888835802
II,0.772450751590333
Ib,0.9749006515515137
nonevent,0.07984093357622767
II,0.6004670828529506
II,0.9405873881020937
II,0.9197236923258001
nonevent,0.09532567643167321
nonevent,0.19582746312026666
nonevent,0.10212262235914475
II,0.7795746343189606
II,0.9921071428571429
nonevent,0.39212407137938166
nonevent,0.10810594397974257
Ib,0.917223766244452
II,0.9815166529289467
Ib,0.9985714285714287
nonevent,0.08531406579590721
nonevent,0.07399882909936417
II,0.9093187113597159
Ib,0.92235386201382
II,0.8585261734239995
nonevent,0.08268744968481809
Ib,0.9439945250100322
II,0.9784059432941787
Ib,0.993116883116883
nonevent,0.025935798247011067
Ib,0.8490128008476333
II,0.859371989037557
II,0.999090909090909
nonevent,0.016103249779639603
nonevent,0.30914436943077916
II,0.684915462655315
nonevent,0.17552862801599167
II,0.7313914504731943
Ib,0.9912976380344801
Ib,0.9838292229800851
nonevent,0.12169950324686159
nonevent,0.07357912016989096
Ib,0.9761543516453561
nonevent,0.25227315630325964
nonevent,0.00708931068931069
II,0.9405873881020937
nonevent,0.09476045437303009
Ib,0.9524770952620534
II,0.9405873881020937
nonevent,0.5229254231874874
nonevent,0.5334905167408533
II,0.8885208630468722
II,0.6798977374956573
Ib,1.0
II,0.6378304461066762
II,0.8518892270370533
nonevent,0.08066663565192975
II,0.9926298701298699
II,0.6512701955908915
Ib,0.9722270784770783
II,0.8123197180707911
II,0.6956473114106216
nonevent,0.28549097969328635
II,0.5808674482160743
nonevent,0.13343640434487117
nonevent,0.11779388166063358
Ib,0.9525738210648256
Ib,0.9475583968754883
nonevent,0.09604056727586138
nonevent,0.05935958547330535
nonevent,0.042036390939766216
II,0.9006507912572661
II,0.6846588643218403
nonevent,0.05313400402761017
nonevent,0.24026456710644017
nonevent,0.08434100017629427
Ib,0.8530556011060796
Ib,0.987050505050505
II,0.8388148321496647
nonevent,0.023385023582082404
II,0.8920515158107597
II,0.9725822059204412
II,0.9859280797233925
nonevent,0.11780968689033701
II,0.9779126754083276
Ib,0.9988888888888888
II,0.7076433533143992
nonevent,0.6695591620301861
II,0.9195624171916879
II,0.9436393361540419
nonevent,0.07716487687579017
II,0.9441595706226141
nonevent,0.5113011046403007
Ib,0.870560737106197
II,0.9579383499642118
nonevent,0.09349099543773455
II,0.9583536325992847
nonevent,0.05786599293952235
nonevent,0.014574887788634592
Ib,0.9769876849786894
Ib,0.9562541014641739
II,0.9242520817862382
II,0.9174382289723853
nonevent,0.18519014629007452
II,0.8453684793000995
nonevent,0.051797321632615745
Ib,0.9969230769230769
II,0.9248356893551402
nonevent,0.0038440303657694963
Ib,0.9285242992247974
II,0.8723713692314048
nonevent,0.1351163378371093
II,0.9167467034244529
nonevent,0.13448325675884568
II,0.9740028860028859
nonevent,0.0014285714285714286
Ib,0.6493497002170834
Ib,0.7963243782927789
nonevent,0.033059554933084344
nonevent,0.011869294916034046
Ib,0.9756248579007198
II,0.9379105183912767
II,0.9935389610389609
nonevent,0.12120178448292257
nonevent,0.15966652625839928
nonevent,0.08342203303718311
nonevent,0.08233330231859641
II,0.7470577004054489
II,0.8005583519463307
II,0.7573629417719786
II,0.9542731432310378
II,0.9414964790111847
nonevent,0.11939396499899596
Ib,0.9072855950511023
Ib,0.917142293907801
nonevent,0.015587492572786693
nonevent,0.21817348831838138
II,0.8155233296877364
nonevent,0.5009128743868715
Ib,0.9846176046176046
nonevent,0.48437340883883784
II,0.7167086040546573
nonevent,0.2038431213351492
nonevent,0.039629128731979046
II,1.0
II,0.8439642076120336
nonevent,0.1926714561026885
nonevent,0.09682736414772018
nonevent,0.17557192079194184
nonevent,0.11093534889490937
nonevent,0.3512208908114516
Ib,0.98625
nonevent,0.050239842927671016
II,0.7816103897104975
nonevent,0.24620539379625225
nonevent,0.11859602844733075
nonevent,0.01677976190476191
nonevent,0.1103822705503517
nonevent,0.11617480274395742
nonevent,0.02097015424189337
Ib,0.9273958042863115
II,0.9186643647652774
nonevent,0.02270007954534809
II,0.8991574062726719
II,0.9974410774410774
II,0.72489003365505
nonevent,0.06300306035591066
nonevent,0.10278228748525223
II,0.93084913513939
II,0.9906046365914787
nonevent,0.051736226932582424
nonevent,0.09244877408278943
nonevent,0.4190629530332952
nonevent,0.07617967011712805
nonevent,0.11197875582462338
II,0.926735779035779
II,0.7083667838374972
II,0.8174503662880429
nonevent,0.05802688237688237
II,0.9574107849266857
II,0.8799680866898433
nonevent,0.05336103069617001
nonevent,0.05977238789587691
nonevent,0.02812053463777602
nonevent,0.4499264078189637
nonevent,0.03756583033671135
nonevent,0.06715153075152065
nonevent,0.10933789734043282
nonevent,0.20429961250167689
II,0.992031522117729
II,0.735306433915466
nonevent,0.08278965152494562
Ib,0.9956426332288402
nonevent,0.5637429934672498
nonevent,0.015056301428040562
II,0.9788679653679653
nonevent,0.023012281835811246
nonevent,0.03374256238930152
Ib,0.9884013498578714
nonevent,0.1107191982726745
II,0.8303169426922221
nonevent,0.0013401709401709401
nonevent,0.054293056689923694
nonevent,0.47736121258509834
II,0.7246133241688656
II,0.7484156776129451
II,0.9784972032798119
Ib,0.9965714285714286
nonevent,0.04395124597151451
nonevent,0.09503050309646084
nonevent,0.18463203864898406
nonevent,0.005784615384615384
II,0.8396529601663536
II,0.9069709075602268
nonevent,0.05630962894623212
II,0.9628683763554452
II,0.9478146608293666
Ib,0.9764193713582769
nonevent,0.006502341211083976
II,0.9521684804646106
nonevent,0.005795604395604396
nonevent,0.005732905982905982
nonevent,0.051481136309959166
Ib,0.9524776334776335
Ib,0.9603463907538317
nonevent,0.24441532573655816
nonevent,0.1876701126997768
nonevent,0.16281624038716846
nonevent,0.04222036297036297
nonevent,0.3264168943846121
nonevent,0.27067533568256563
II,0.9609143329337837
nonevent,0.200739881786239
nonevent,0.09220292702466618
nonevent,0.2592206876748234
nonevent,0.08936433161706753
II,0.8748542437286037
nonevent,0.1562628180614249
nonevent,0.10035593050179804
II,0.9758955396455395
Ib,0.6654665359956838
Ib,0.9264096931752003
nonevent,0.34792908396026584
nonevent,0.10543530930091034
nonevent,0.011066877551936105
nonevent,0.029551247514095814
Ib,0.9314770332425405
nonevent,0.26763392476229003
Ib,0.9367221911230531
nonevent,0.35726670827457924
nonevent,0.14327641419281276
Ib,0.9015141304046377
nonevent,0.13714896882269006
nonevent,0.18690656967351507
nonevent,0.1297461745807923
nonevent,0.13091130442310617
nonevent,0.032729128600867734
II,0.9209585748490821
II,0.9158771886426961
II,0.7396494510178653
nonevent,0.10459048837411672
nonevent,0.06263962148962147
nonevent,0.4398049982481549
Ib,0.9988888888888888
II,0.5923723015146206
nonevent,0.10717541222219847
nonevent,0.14950059520242254
nonevent,0.1512332531955563
nonevent,0.038227309930015545
Ib,0.9026145792526711
nonevent,0.16183092927398346
nonevent,0.012415806415806417
nonevent,0.09187007661801712
nonevent,0.4312083349955709
II,0.9929040404040402
II,0.9815477273171781
II,0.7962092514447542
nonevent,0.1744300958177605
nonevent,0.028102924852924854
nonevent,0.016925909271177816
II,0.864087309217519
II,0.9992592592592593
nonevent,0.0781256029544258
nonevent,0.013466816516816518
nonevent,0.04767290074271162
nonevent,0.0676223419826361
nonevent,0.3805085189882569
Ib,0.9213727826396491
II,0.9751756203835151
nonevent,0.01622145969498911
II,0.9347388373597754
nonevent,0.34579992070909243
II,0.9881298701298701
Ib,0.9314333283564443
nonevent,0.7205102941883612
II,0.9144557822712897
nonevent,0.2482161179683575
Ib,0.990527950310559
Ib,0.9899144237405108
Ib,0.9721824901734947
nonevent,0.01441261334573355
nonevent,0.25676474280842965
nonevent,0.1822681028671303
nonevent,0.21618795495490034
Ib,1.0
II,0.9950104493207941
nonevent,0.046498895870635
nonevent,0.035729944170161565
nonevent,0.07934152592034877
nonevent,0.33642036417637927
II,0.8207213948692212
Ib,1.0
nonevent,0.5425904847232867
II,0.9299407121447603
II,0.9577967210894498
nonevent,0.043803964428580804
nonevent,0.09960427899750149
Ib,0.9445361500516573
II,0.8355642234710245
II,0.8688519484183874
nonevent,0.03174812963542941
II,1.0
nonevent,0.2583638491011489
nonevent,0.1149557152525015
Ib,0.9798097153291662
nonevent,0.12082760270420119
nonevent,0.26760206568208306
nonevent,0.10208289362967987
nonevent,0.21446152686521322
nonevent,0.1186393108993627
nonevent,0.029837967587967588
II,0.9491253803192733
II,0.8417176893059924
nonevent,0.004166666666666667
nonevent,0.3552933173682246
nonevent,0.02012227772227772
nonevent,0.01389006296645279
nonevent,0.31952912966490066
nonevent,0.055658901710729
nonevent,0.27163771613924736
nonevent,0.3968382843349798
nonevent,0.11648781200141746
nonevent,0.02218049884424565
II,0.892382748375137
II,0.898913740321283
nonevent,0.01906219096334186
nonevent,0.07893586642116052
Ib,0.8201988849571679
nonevent,0.13580324692843537
Ib,0.9180895106244686
nonevent,0.10337821074445111
nonevent,0.09889621163150573
II,0.9935551948051947
nonevent,0.24135763683627467
Ib,0.9504488484643558
nonevent,0.015231349804879219
II,0.6721382884458253
nonevent,0.11429578036056362
Ib,0.9905353535353535
nonevent,0.37653773520168726
Ib,0.914655960796468
II,0.8511686073450332
nonevent,0.12006413461092082
nonevent,0.04164858042079068
nonevent,0.4962637111792351
II,0.9350100716856812
nonevent,0.19457868035630185
Ib,0.9567082824483214
nonevent,0.05726701709583994
II,0.7673876019461797
II,0.9688188200688201
II,0.8040089959180416
II,0.993
II,0.8587200340044173
nonevent,0.3237450009432544
nonevent,0.38884062918753803
nonevent,0.0967797746731116
nonevent,0.04318965001847287
nonevent,0.1291132290883065
nonevent,0.07811093722351294
nonevent,0.22131671540968703
nonevent,0.11259641227477746
nonevent,0.07497705474182119
nonevent,0.08413276347174398
Ib,0.9872661887920507
nonevent,0.2895047148963119
II,0.9639578580361322
nonevent,0.004443223443223444
II,0.9547485666257781
nonevent,0.018560950160950163
nonevent,0.1204225364275674
Ib,0.8752199510836166
nonevent,0.06884897266674574
II,0.9938131313131312
nonevent,0.04158044493159583
nonevent,0.0526772895719019
Ib,1.0
nonevent,0.016410214785214785
nonevent,0.34290666626114685
nonevent,0.24669786963459056
Ib,0.9409093571762236
nonevent,0.07988122888475896
nonevent,0.22177073591925747
nonevent,0.04263374006267734
II,0.7800051482472632
Ib,0.9969047619047618
nonevent,0.06465212904383719
nonevent,0.07440482713033864
II,0.9512637958410073
Ib,0.9724765062523683
nonevent,0.11610371848666032
II,0.7091675843599724
nonevent,0.03597622159975101
nonevent,0.4079361631032851
II,0.9430104581509654
II,0.8805520021723655
II,0.9468537442127425
nonevent,0.08951722611055445
nonevent,0.049548075727012995
II,0.7555672483454486
II,0.8908568008307505
nonevent,0.05935958547330535
II,0.9183097471606597
II,0.9605765738675784
nonevent,0.03347531220082371
II,0.7816485668171963
II,0.9062691466204958
nonevent,0.45261618287150995
nonevent,0.216281701753715
Ib,0.7086418679712139
II,0.7091302189898167
nonevent,0.6202763844564337
nonevent,0.03082205346141273
nonevent,0.13173331658022064
Ib,0.9469228050633124
II,0.8505829964372796
nonevent,0.05287036782260229
nonevent,0.22217436533830054
nonevent,0.1670891209713509
II,0.8848863716993682
II,0.9542547138047138
nonevent,0.047704409259138866
nonevent,0.005509476031215162
Ib,0.879396886537394
nonevent,0.21065909729096222
nonevent,0.47121080714539787
II,0.6598743418926587
Ib,0.8473697922143555
nonevent,0.10788662892311768
nonevent,0.0522290315893257
II,0.9586065086837201
nonevent,0.061033061491885025
Ib,0.9820069097569096
Ib,0.943905327657677
II,0.9842953712953713
nonevent,0.0680761958398013
nonevent,0.0597548300075659
II,0.8106789695531575
Ib,0.9471726375365429
nonevent,0.20335837510741592
nonevent,0.015177865612648223
II,1.0
Ib,0.9983333333333333
Ib,0.9413016318365899
nonevent,0.09122244057224538
Ib,0.8623540834742819
II,0.9829691523073878
nonevent,0.4917195728304391
nonevent,0.28549945942461585
nonevent,0.028240869356086745
nonevent,0.43322976430660165
II,0.9918239538239538
Ib,0.9152037237060731
nonevent,0.10684207888886514
Ib,0.8781991953397028
Ib,0.7397835859586936
II,0.989939465208916
nonevent,0.2946993301448107
nonevent,0.07554969721527618
nonevent,0.054623341146870556
II,0.9407584138989212
nonevent,0.07217370879906551
II,0.5881941595257316
nonevent,0.3810791259955665
II,0.9933159420289855
Ib,0.9049780891096009
II,0.8858637674092271
nonevent,0.10573048081923249
II,0.5719567099869011
nonevent,0.007609043130782261
nonevent,0.10224114715693662
nonevent,0.5203928615032734
II,0.992935064935065
II,0.9717333534319335
II,0.9793865551560059
nonevent,0.10058887892866221
II,0.7869495771249134
nonevent,0.08608688207217619
nonevent,0.02257928182928183
nonevent,0.09000312661195015
Ib,0.8406777483731079
nonevent,0.04109422737266323
II,0.6992974057818013
nonevent,0.33095644907642446
II,0.9163065920615527
nonevent,0.21588074239864516
II,0.92928143706027
nonevent,0.2107190538116605
nonevent,0.524274301874936
II,0.9392669947061427
II,0.9923207070707071
II,0.830836579521986
Ib,0.7121543502482223
II,0.911251697365603
nonevent,0.09719227255484827
nonevent,0.10347107530748667
Ib,0.9402626262626264
II,0.9860376886148998
II,0.9985714285714287
nonevent,0.0896095891563754
nonevent,0.0008695652173913043
nonevent,0.2782544694756618
nonevent,0.036693921395945385
nonevent,0.37326663500090923
nonevent,0.18443249640646664
nonevent,0.11631469966384154
nonevent,0.5549310697989187
nonevent,0.03382725852578793
Ib,1.0
nonevent,0.5129375780999484
Ib,0.9603681568876077
Ib,0.9618311688311689
II,0.9077002871078296
II,0.7620786854877311
II,0.5986714387491127
nonevent,0.002971014492753623
II,0.9505865476922053
nonevent,0.009376123876123877
II,0.6554053888872322
Ib,0.9836056998556998
nonevent,0.046860952446246565
nonevent,0.09265076263605673
nonevent,0.45997705384955834
nonevent,0.2780195933226523
Ib,0.998
Ib,0.8008387429849034
nonevent,0.05118006513946412
nonevent,0.130766006229943
nonevent,0.48087682388597336
nonevent,0.045970331955626074
nonevent,0.2364268812460006
II,0.8900763617363197
nonevent,0.33210709139675154
nonevent,0.10518678973357597
II,0.9831728331638376
nonevent,0.3248446268643637
nonevent,0.25801862102086054
nonevent,0.1294145214559114
Ib,0.9314721911230532
Ib,0.9802387672297717
II,0.9946666666666667
Ib,0.9516639275258701
Ib,0.9562963485789571
nonevent,0.04349002265376945
nonevent,0.02090265165504094
II,0.9620866526597015
II,0.9234262065965194
II,0.7652200951334752
nonevent,0.1801495893289088
nonevent,0.23278110026326362
Ib,0.961561999553004
nonevent,0.39224159004242787
II,0.9916013071895423
nonevent,0.13998301044351322
II,0.9235953593608666
nonevent,0.28769015014831917
nonevent,0.020461063332802464
nonevent,0.04701819267987662
nonevent,0.3237486569492003
nonevent,0.251821961093917
nonevent,0.11874431554110176
nonevent,0.26654078171084833
nonevent,0.23144332877031082
nonevent,0.02083649153788136
nonevent,0.2649743029296872
nonevent,0.49129826910741853
nonevent,0.05277206760089045
nonevent,0.06942577230579652
II,0.9209731895485268
nonevent,0.004262422360248447
Ib,1.0
II,0.8878083557085776
II,0.8601756075298909
II,0.9739910753161527
nonevent,0.12377769882448506
nonevent,0.07786138620207808
Ib,0.993
nonevent,0.002738095238095238
nonevent,0.010033151059466847
nonevent,0.47525918404387546
II,0.9414964790111847
nonevent,0.018039466687996098
nonevent,0.03633254854978993
nonevent,0.41441637472889703
nonevent,0.11588669800085198
nonevent,0.1506723104677338
II,0.8348041267763128
nonevent,0.09271904650553527
nonevent,0.01865892114421526
II,0.9915064935064936
nonevent,0.1253678752795491
nonevent,0.34808092134492385
II,0.9851644268774703
nonevent,0.050713042186571605
nonevent,0.15259442449659846
nonevent,0.028460895298895027
nonevent,0.0282415778618464
Ib,0.9515710565879231
nonevent,0.17228038114288954
nonevent,0.20471275727570312
Ib,0.8059757373264708
nonevent,0.014388095238095238
nonevent,0.20406647305515757
II,0.8454786928877386
nonevent,0.15930957536988966
nonevent,0.06092241592717767
nonevent,0.020073939345678474
nonevent,0.1294873763249857
II,0.841222204970081
Ib,0.7667373352188938
nonevent,0.1981134951609814
nonevent,0.054055108648739844
nonevent,0.05637140264662473
II,0.8656367339219782
Ib,0.9308099183009229
Ib,0.9706663611242559
II,0.8501989602431785
nonevent,0.07194015120698388
nonevent,0.2045045346237211
nonevent,0.12306040833203978
Ib,0.9855778388278388
nonevent,0.16206236564806692
nonevent,0.0851229461667441
nonevent,0.17739472853726795
nonevent,0.15358332968774138
II,0.8960227295053421
Ib,0.9418301498754625
nonevent,0.023708927570537476
nonevent,0.06503084406993075
nonevent,0.1706676127179929
nonevent,0.10361146020003538
II,0.9213521788668845
Ib,0.7802917565680657
nonevent,0.06446862396849945
II,1.0
nonevent,0.022181767291203282
II,0.6653759639475679
nonevent,0.06954164798735062
Ib,0.9960474308300395
nonevent,0.08005346856707403
nonevent,0.14786905365589578
nonevent,0.039651345264493064
nonevent,0.07269527368056777
II,0.9965151515151515
nonevent,0.3416180095965566
nonevent,0.014318634395024217
nonevent,0.4292601848901449
nonevent,0.01876852264111653
II,0.9133326038890786
nonevent,0.1005311789007172
II,0.9632481206058066
nonevent,0.6099473713103577
nonevent,0.011223856209150326
nonevent,0.025092403606150407
nonevent,0.6435109832306273
nonevent,0.4558224321383962
II,0.757264960329876
nonevent,0.023888155961685375
nonevent,0.426874406070092
Ib,0.9121144190049263
nonevent,0.014743548118548118
Ib,0.9501506904460031
nonevent,0.03690415274888286
Ib,0.9684652951294827
